"country","state","county","pais","entidad","municipio","var_outcome","var_resultado","population","date","new_cases","cum_cases","time_cases","time_stamp"
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-04-03,123,1306,36,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-04-04,89,1395,37,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-04-05,90,1485,38,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-04-06,191,1676,39,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-04-07,193,1869,40,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-04-08,207,2076,41,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-04-09,177,2253,42,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-04-10,229,2482,43,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-04-11,181,2663,44,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-04-12,189,2852,45,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-04-13,385,3237,46,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-04-14,389,3626,47,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-04-15,386,4012,48,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-04-16,416,4428,49,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Confirmed","Confirmados",21942666,2020-04-17,457,4885,50,2020-05-24
